Name(String),Author(StringArr),URL (String),ReleaseDate(LocalDate),TwoPlayer(Boolean),Belt(Enum),Genre(Enum),Tags(Enum),Type(Enum),,
Monkey-In-The-Sky,Alek-Santiago,https://arcade.makecode.com/S12739-05594-41456-81549,2026-12-02,FALSE,WHITE,PLATFORMER,,SENSEI,,
building-time,Cody-Schwab,https://arcade.makecode.com/S24043-92989-37189-77204,2026-12-02,TRUE,ORANGE,HORROR,,SENSEI,,
Sonic-Adventure-3,Reggie,https://arcade.makecode.com/S12739-05594-41456-81549,2026-12-02,FALSE,YELLOW,PLATFORMER,,SENSEI,,
Clamp-Champ,Captain-Planet,https://arcade.makecode.com/S24043-92989-37189-77204,2026-12-02,TRUE,BLUE,HORROR,,SENSEI,,
RIMP,wimple,https://arcade.makecode.com/S24043-92989-37189-77204,2024-08-04,,RED,GBS,,SENSEI,,
Monkey-In-The-Sky,Alek-Santiago,https://arcade.makecode.com/S12739-05594-41456-81549,2026-12-02,FALSE,BROWN,PLATFORMER,,SENSEI,,
building-time,Cody-Schwab,https://arcade.makecode.com/S24043-92989-37189-77204,2026-12-02,TRUE,BLACK,HORROR,,SENSEI,,
Sonic-Adventure-3,Reggie,https://arcade.makecode.com/S12739-05594-41456-81549,2026-12-02,FALSE,GREEN,PLATFORMER,,SENSEI,,
Clamp-Champ,Captain-Planet,https://arcade.makecode.com/S24043-92989-37189-77204,2026-12-02,TRUE,ORANGE,HORROR,,SENSEI,,
RIMP,wimple,https://arcade.makecode.com/S24043-92989-37189-77204,2024-08-04,,GBS,GBS,,SENSEI,,
Monkey-In-The-Sky,Alek-Santiago,https://arcade.makecode.com/S12739-05594-41456-81549,2026-12-02,FALSE,BLACK,PLATFORMER,,SENSEI,,
building-time,Cody-Schwab,https://arcade.makecode.com/S24043-92989-37189-77204,2026-12-02,TRUE,Orange,HORROR,,QUEST,,
Sonic-Adventure-3,Reggie,https://arcade.makecode.com/S12739-05594-41456-81549,2026-12-02,FALSE,YELLOW,PLATFORMER,,SENSEI,,
Clamp-Champ,Captain-Planet,https://arcade.makecode.com/S24043-92989-37189-77204,2026-12-02,TRUE,ORANGE,HORROR,,SENSEI,,
RIMP,wimple,https://arcade.makecode.com/S24043-92989-37189-77204,2024-08-04,,GBS,GBS,,SENSEI,,
Monkey-In-The-Sky,Alek-Santiago,https://arcade.makecode.com/S12739-05594-41456-81549,2026-12-02,FALSE,WHITE,PLATFORMER,,SENSEI,,
building-time,Cody-Schwab,https://arcade.makecode.com/S24043-92989-37189-77204,2026-12-02,TRUE,RED,HORROR,,SENSEI,,
Sonic-Adventure-3,Reggie,https://arcade.makecode.com/S12739-05594-41456-81549,2026-12-02,FALSE,YELLOW,PLATFORMER,,SENSEI,,
Clamp-Champ,Captain-Planet,https://arcade.makecode.com/S24043-92989-37189-77204,2026-12-02,TRUE,ORANGE,HORROR,,SENSEI,,
RIMP,wimple,https://arcade.makecode.com/S24043-92989-37189-77204,2024-08-04,,,,,SENSEI,,
